ID,Category,Subcategory,Value,Timestamp
2989,Dairy,Cream,66.87,2024-02-21T00:58:00
2990,Vegetable,Carrot,71.61,2024-01-13T23:36:00
2991,Vegetable,Pepper,58.94,2024-01-08T08:19:00
2992,Dairy,Cheese,4.18,2024-02-02T06:42:00
2993,Vegetable,Pepper,42.83,2024-01-09T22:23:00
2994,Dairy,Yogurt,60.11,2024-01-16T18:35:00
2995,Protein,Tofu,68.21,2024-01-30T08:28:00
2996,Protein,Beef,68.65,2024-01-19T03:49:00
2997,Dairy,Cheese,42.21,2024-01-19T03:51:00
2998,Dairy,Yogurt,9.47,2024-02-21T13:53:00
2999,Grain,Barley,19.15,2024-02-09T18:24:00
3000,Fruit,Orange,53.13,2024-03-04T04:21:00
3001,Dairy,Cream,93.55,2024-03-05T20:41:00
3002,Dairy,Butter,36.07,2024-02-12T11:11:00
3003,Grain,Corn,46.67,2024-02-20T20:57:00
3004,Fruit,Grape,9.75,2024-01-13T19:06:00
3005,Protein,Fish,78.88,2024-02-22T19:44:00
3006,Protein,Fish,13.6,2024-02-19T10:47:00
3007,Protein,Fish,6.3,2024-02-05T17:46:00
3008,Vegetable,Pepper,67.34,2024-02-12T03:01:00
3009,Protein,Tofu,84.08,2024-01-08T16:56:00
3010,Fruit,Banana,83.16,2024-02-29T03:41:00
3011,Fruit,Banana,59.84,2024-01-27T10:46:00
3012,Protein,Tofu,69.37,2024-01-06T12:57:00
3013,Fruit,Berry,67.77,2024-03-08T07:09:00
3014,Fruit,Orange,52.11,2024-02-21T03:48:00
3015,Grain,Wheat,23.13,2024-03-02T12:02:00
3016,Vegetable,Broccoli,63.2,2024-03-06T10:59:00
3017,Fruit,Grape,62.74,2024-01-19T06:26:00
3018,Fruit,Apple,1.0,2024-02-24T23:00:00
3019,Fruit,Berry,10.59,2024-01-19T14:17:00
3020,Fruit,Grape,3.44,2024-02-16T00:56:00
3021,Grain,Corn,6.51,2024-01-12T02:06:00
3022,Dairy,Butter,48.89,2024-01-17T18:03:00
3023,Vegetable,Tomato,26.77,2024-02-25T18:35:00
3024,Grain,Barley,13.2,2024-01-14T07:28:00
3025,Fruit,Orange,15.03,2024-03-08T18:36:00
3026,Vegetable,Spinach,51.64,2024-03-04T16:21:00
3027,Protein,Beef,48.14,2024-01-27T09:35:00
3028,Dairy,Milk,95.95,2024-02-14T20:53:00
3029,Dairy,Yogurt,39.73,2024-03-04T12:02:00
3030,Fruit,Grape,42.27,2024-02-08T16:03:00
3031,Vegetable,Carrot,29.06,2024-01-11T22:25:00
3032,Protein,Tofu,2.09,2024-01-28T13:23:00
3033,Fruit,Berry,45.0,2024-02-02T06:54:00
3034,Vegetable,Pepper,88.36,2024-02-11T17:16:00
3035,Dairy,Milk,98.19,2024-02-02T13:30:00
3036,Protein,Egg,21.87,2024-03-05T06:46:00
3037,Protein,Tofu,51.79,2024-01-16T21:11:00
3038,Vegetable,Broccoli,65.94,2024-02-21T06:12:00
3039,Dairy,Butter,71.8,2024-01-13T17:55:00
3040,Dairy,Yogurt,92.42,2024-01-07T05:00:00
3041,Grain,Corn,96.29,2024-02-25T03:28:00
3042,Vegetable,Tomato,71.14,2024-02-16T03:30:00
3043,Protein,Fish,13.81,2024-01-30T11:57:00
3044,Protein,Egg,35.46,2024-02-26T04:53:00
3045,Grain,Rice,5.45,2024-03-07T16:59:00
3046,Vegetable,Spinach,10.56,2024-01-10T16:02:00
3047,Grain,Corn,33.04,2024-01-22T01:47:00
3048,Vegetable,Carrot,90.08,2024-01-16T20:06:00
3049,Grain,Corn,92.32,2024-01-06T15:16:00
3050,Protein,Fish,12.33,2024-03-09T06:15:00
3051,Fruit,Grape,76.57,2024-02-25T04:59:00
3052,Fruit,Orange,32.79,2024-03-04T14:23:00
3053,Grain,Corn,14.19,2024-02-28T00:24:00
3054,Protein,Egg,20.77,2024-01-23T23:35:00
3055,Grain,Corn,68.21,2024-01-21T12:36:00
3056,Vegetable,Spinach,43.97,2024-02-18T02:35:00
3057,Vegetable,Carrot,58.63,2024-02-27T06:19:00
3058,Fruit,Orange,4.29,2024-01-13T19:03:00
3059,Fruit,Banana,77.66,2024-02-21T17:27:00
3060,Protein,Chicken,34.73,2024-03-03T02:38:00
3061,Protein,Tofu,19.82,2024-01-19T21:14:00
3062,Protein,Tofu,50.58,2024-02-02T10:45:00
3063,Protein,Egg,85.49,2024-01-07T02:42:00
3064,Grain,Corn,62.92,2024-01-07T10:48:00
3065,Protein,Chicken,13.59,2024-02-17T01:56:00
3066,Dairy,Milk,12.67,2024-01-21T23:41:00
3067,Fruit,Berry,54.51,2024-01-03T01:14:00
3068,Vegetable,Broccoli,92.31,2024-01-23T21:09:00
3069,Grain,Oats,7.73,2024-01-15T08:51:00
3070,Dairy,Milk,53.91,2024-01-22T23:20:00
3071,Protein,Egg,50.5,2024-02-06T08:06:00
3072,Protein,Chicken,55.05,2024-01-11T02:12:00
3073,Protein,Tofu,93.76,2024-01-24T22:38:00
3074,Fruit,Apple,34.47,2024-01-24T17:54:00
3075,Vegetable,Broccoli,88.91,2024-01-06T09:44:00
3076,Vegetable,Spinach,55.16,2024-03-07T19:10:00
3077,Dairy,Milk,24.33,2024-01-07T15:16:00
3078,Protein,Egg,70.61,2024-01-04T05:14:00
3079,Dairy,Milk,95.04,2024-02-24T10:40:00
3080,Protein,Chicken,88.86,2024-02-13T13:53:00
3081,Vegetable,Broccoli,72.61,2024-01-10T11:19:00
3082,Fruit,Grape,51.25,2024-02-29T04:40:00
3083,Dairy,Butter,48.28,2024-01-21T17:32:00
3084,Fruit,Apple,3.61,2024-01-18T20:32:00
3085,Protein,Egg,86.17,2024-03-03T01:43:00
3086,Fruit,Berry,48.74,2024-02-05T05:41:00
3087,Grain,Wheat,43.54,2024-02-08T20:25:00
3088,Protein,Beef,12.44,2024-01-11T17:45:00
3089,Protein,Fish,35.83,2024-02-01T05:34:00
3090,Grain,Rice,24.58,2024-01-09T08:57:00
3091,Protein,Chicken,23.49,2024-03-09T00:53:00
3092,Protein,Egg,5.53,2024-01-02T08:32:00
3093,Vegetable,Carrot,8.58,2024-01-12T12:48:00
3094,Grain,Wheat,28.98,2024-01-29T14:13:00
3095,Dairy,Cream,65.87,2024-01-23T05:33:00
3096,Dairy,Cheese,61.01,2024-02-13T13:44:00
3097,Fruit,Apple,8.56,2024-02-19T11:36:00
3098,Vegetable,Pepper,70.82,2024-02-02T11:47:00
3099,Vegetable,Pepper,71.6,2024-02-03T09:34:00
3100,Protein,Fish,87.03,2024-01-23T05:28:00
3101,Protein,Fish,32.57,2024-02-19T06:44:00
3102,Protein,Chicken,6.35,2024-02-07T09:28:00
3103,Protein,Tofu,28.7,2024-01-19T12:40:00
3104,Vegetable,Tomato,23.82,2024-03-08T12:43:00
3105,Protein,Beef,13.15,2024-03-06T23:35:00
3106,Vegetable,Carrot,97.81,2024-03-04T13:33:00
3107,Grain,Corn,95.35,2024-01-02T22:30:00
3108,Grain,Rice,27.76,2024-02-23T13:01:00
3109,Grain,Oats,82.89,2024-01-08T16:34:00
3110,Fruit,Banana,85.6,2024-02-04T22:43:00
3111,Grain,Rice,86.41,2024-02-05T00:18:00
3112,Grain,Rice,23.22,2024-02-04T12:39:00
3113,Vegetable,Pepper,53.72,2024-03-01T02:40:00
3114,Dairy,Milk,54.61,2024-02-01T15:47:00
3115,Fruit,Berry,75.69,2024-01-31T14:28:00
3116,Dairy,Cream,22.44,2024-01-03T11:44:00
3117,Dairy,Cream,43.97,2024-02-08T21:59:00
3118,Fruit,Apple,55.78,2024-03-06T15:41:00
3119,Dairy,Cream,46.89,2024-02-22T02:52:00
3120,Protein,Egg,26.75,2024-02-04T16:56:00
3121,Grain,Wheat,14.06,2024-01-02T09:10:00
3122,Dairy,Yogurt,9.47,2024-01-23T17:59:00
3123,Protein,Fish,34.42,2024-02-05T22:01:00
3124,Fruit,Berry,28.15,2024-01-25T11:05:00
3125,Dairy,Cream,2.22,2024-01-28T22:25:00
3126,Protein,Fish,83.76,2024-01-17T06:33:00
3127,Grain,Corn,2.71,2024-01-01T19:22:00
3128,Grain,Rice,96.62,2024-02-13T17:01:00
3129,Protein,Beef,41.45,2024-02-22T18:05:00
3130,Fruit,Banana,89.81,2024-02-20T04:39:00
3131,Dairy,Milk,44.6,2024-01-24T11:37:00
3132,Dairy,Yogurt,87.04,2024-01-12T13:55:00
3133,Vegetable,Spinach,15.54,2024-02-26T05:55:00
3134,Fruit,Orange,12.33,2024-01-04T12:06:00
3135,Vegetable,Tomato,86.2,2024-02-22T18:47:00
3136,Dairy,Milk,55.79,2024-01-21T17:58:00
3137,Fruit,Banana,97.55,2024-01-02T11:12:00
3138,Dairy,Cream,72.11,2024-02-24T15:59:00
3139,Vegetable,Broccoli,11.81,2024-02-16T03:25:00
3140,Grain,Rice,51.59,2024-01-22T13:41:00
3141,Vegetable,Broccoli,57.47,2024-03-02T23:42:00
3142,Grain,Rice,64.55,2024-01-26T18:24:00
3143,Vegetable,Carrot,33.33,2024-02-02T19:03:00
3144,Dairy,Butter,89.84,2024-02-04T02:34:00
3145,Grain,Oats,62.57,2024-01-15T14:12:00
3146,Dairy,Milk,29.8,2024-01-14T15:49:00
3147,Protein,Chicken,11.52,2024-01-20T05:59:00
3148,Dairy,Cream,71.86,2024-03-08T13:01:00
3149,Protein,Egg,71.57,2024-01-20T13:23:00
3150,Grain,Barley,4.23,2024-03-07T02:32:00
3151,Vegetable,Pepper,76.5,2024-02-29T02:13:00
3152,Fruit,Apple,95.9,2024-01-21T10:36:00
3153,Protein,Egg,99.78,2024-02-27T08:57:00
3154,Protein,Tofu,54.36,2024-01-12T00:51:00
3155,Protein,Chicken,61.1,2024-03-01T00:02:00
3156,Protein,Egg,44.66,2024-01-25T12:02:00
3157,Vegetable,Tomato,30.01,2024-01-23T05:05:00
3158,Dairy,Cheese,80.1,2024-02-02T22:43:00
3159,Vegetable,Pepper,32.17,2024-01-11T12:07:00
3160,Vegetable,Pepper,73.55,2024-02-07T07:29:00
3161,Dairy,Milk,35.85,2024-02-16T00:35:00
3162,Fruit,Banana,65.68,2024-02-25T02:07:00
3163,Vegetable,Pepper,78.84,2024-01-21T21:55:00
3164,Protein,Beef,92.65,2024-01-23T07:05:00
3165,Grain,Barley,66.92,2024-02-25T02:50:00
3166,Dairy,Yogurt,34.82,2024-01-11T17:41:00
3167,Fruit,Grape,42.68,2024-01-14T12:10:00
3168,Protein,Tofu,63.63,2024-01-19T00:45:00
3169,Vegetable,Pepper,2.54,2024-01-11T23:52:00
3170,Grain,Oats,76.79,2024-03-05T18:02:00
3171,Grain,Rice,13.51,2024-01-04T02:26:00
3172,Grain,Rice,69.31,2024-01-07T15:30:00
3173,Vegetable,Tomato,86.82,2024-02-05T07:50:00
3174,Grain,Oats,13.62,2024-03-04T10:27:00
3175,Protein,Beef,71.49,2024-01-11T20:01:00
3176,Dairy,Yogurt,59.56,2024-02-26T03:02:00
3177,Fruit,Apple,8.3,2024-02-02T07:25:00
3178,Grain,Corn,63.45,2024-03-08T10:04:00
3179,Grain,Oats,76.01,2024-03-04T17:25:00
3180,Vegetable,Spinach,72.65,2024-02-23T15:54:00
3181,Protein,Chicken,16.07,2024-01-01T17:00:00
3182,Protein,Egg,37.62,2024-02-29T02:38:00
3183,Grain,Corn,32.72,2024-01-17T02:03:00
3184,Protein,Egg,28.65,2024-01-09T19:40:00
3185,Vegetable,Broccoli,49.84,2024-01-05T09:29:00
3186,Protein,Egg,89.83,2024-02-22T18:39:00
3187,Protein,Tofu,29.24,2024-02-04T23:00:00
3188,Dairy,Cheese,95.4,2024-01-04T19:36:00
3189,Vegetable,Pepper,52.39,2024-02-22T08:24:00
3190,Protein,Fish,10.85,2024-01-26T22:08:00
3191,Vegetable,Carrot,29.5,2024-02-14T07:04:00
3192,Grain,Wheat,88.65,2024-01-27T06:11:00
3193,Dairy,Cream,75.59,2024-01-22T02:06:00
3194,Dairy,Cheese,10.5,2024-02-20T06:13:00
3195,Protein,Beef,3.71,2024-01-04T14:49:00
3196,Protein,Egg,80.1,2024-01-01T14:33:00
3197,Grain,Rice,37.58,2024-01-26T15:41:00
3198,Protein,Tofu,73.48,2024-02-17T09:54:00
3199,Vegetable,Pepper,30.2,2024-01-10T23:27:00
3200,Fruit,Grape,89.0,2024-02-14T21:31:00
3201,Dairy,Milk,86.59,2024-01-26T08:17:00
3202,Fruit,Banana,80.56,2024-03-08T17:53:00
3203,Vegetable,Carrot,33.38,2024-02-16T03:41:00
3204,Dairy,Yogurt,45.89,2024-03-07T22:46:00
3205,Protein,Chicken,70.97,2024-01-29T15:42:00
3206,Fruit,Grape,10.94,2024-03-05T04:19:00
3207,Protein,Fish,19.85,2024-02-20T19:20:00
3208,Fruit,Apple,25.35,2024-02-23T08:53:00
3209,Grain,Wheat,67.66,2024-01-25T03:31:00
3210,Grain,Wheat,48.97,2024-01-18T00:44:00
3211,Grain,Oats,14.05,2024-02-27T18:40:00
3212,Fruit,Berry,85.86,2024-03-09T05:11:00
3213,Vegetable,Carrot,44.0,2024-02-14T15:55:00
3214,Protein,Egg,21.65,2024-01-17T05:05:00
3215,Fruit,Grape,69.11,2024-02-25T19:56:00
3216,Grain,Barley,24.24,2024-02-01T17:45:00
3217,Grain,Barley,66.04,2024-01-17T09:21:00
3218,Dairy,Cheese,87.63,2024-03-01T19:12:00
3219,Grain,Corn,79.88,2024-02-05T16:47:00
3220,Protein,Fish,54.8,2024-01-27T21:20:00
3221,Fruit,Orange,12.12,2024-03-09T17:14:00
3222,Dairy,Butter,96.97,2024-01-30T14:50:00
3223,Vegetable,Pepper,12.47,2024-02-12T07:13:00
3224,Dairy,Milk,35.41,2024-02-06T05:38:00
3225,Vegetable,Pepper,84.17,2024-02-14T12:37:00
3226,Protein,Tofu,69.03,2024-01-03T15:16:00
3227,Dairy,Yogurt,51.24,2024-02-07T05:29:00
3228,Fruit,Berry,77.41,2024-01-24T19:29:00
3229,Dairy,Butter,39.75,2024-02-10T05:27:00
3230,Grain,Corn,26.81,2024-01-05T23:20:00
3231,Dairy,Butter,73.09,2024-01-31T22:23:00
3232,Fruit,Banana,45.32,2024-01-21T03:27:00
3233,Protein,Beef,54.07,2024-02-26T21:57:00
3234,Fruit,Berry,61.46,2024-01-12T18:16:00
3235,Protein,Egg,2.97,2024-03-06T17:43:00
3236,Fruit,Grape,9.94,2024-03-05T03:30:00
3237,Dairy,Yogurt,76.92,2024-02-20T07:48:00
3238,Fruit,Apple,52.35,2024-02-02T23:00:00
3239,Protein,Beef,98.54,2024-02-18T18:15:00
3240,Grain,Wheat,29.73,2024-01-15T16:35:00
3241,Dairy,Yogurt,41.93,2024-02-20T07:56:00
3242,Vegetable,Carrot,4.57,2024-01-02T19:45:00
3243,Protein,Chicken,50.65,2024-02-14T03:16:00
3244,Fruit,Orange,29.03,2024-01-03T04:57:00
3245,Vegetable,Spinach,4.34,2024-03-09T06:12:00
3246,Fruit,Grape,65.87,2024-01-12T22:35:00
3247,Dairy,Milk,8.58,2024-02-15T22:07:00
3248,Grain,Rice,2.46,2024-02-19T07:21:00
3249,Protein,Beef,10.46,2024-02-23T12:55:00
3250,Grain,Wheat,83.32,2024-01-29T09:59:00
3251,Dairy,Butter,51.72,2024-01-03T03:11:00
3252,Dairy,Yogurt,46.43,2024-01-10T01:45:00
3253,Dairy,Cream,47.67,2024-01-27T12:13:00
3254,Grain,Rice,23.0,2024-02-06T23:38:00
3255,Protein,Fish,48.85,2024-03-04T23:27:00
3256,Protein,Egg,25.22,2024-01-02T13:36:00
3257,Grain,Corn,95.19,2024-03-10T10:08:00
3258,Protein,Chicken,45.77,2024-02-22T14:23:00
3259,Fruit,Grape,77.35,2024-02-10T16:40:00
3260,Dairy,Butter,56.75,2024-02-28T12:15:00
3261,Dairy,Yogurt,15.23,2024-02-27T08:04:00
3262,Fruit,Apple,56.53,2024-01-19T21:41:00
3263,Grain,Barley,25.75,2024-01-13T20:44:00
3264,Grain,Barley,83.97,2024-02-17T15:23:00
3265,Protein,Beef,6.83,2024-02-14T21:53:00
3266,Dairy,Butter,31.83,2024-01-31T18:05:00
3267,Vegetable,Carrot,32.82,2024-02-21T10:56:00
3268,Protein,Tofu,87.27,2024-01-25T09:46:00
3269,Vegetable,Tomato,79.67,2024-02-19T15:51:00
3270,Grain,Oats,95.99,2024-01-22T10:58:00
3271,Dairy,Butter,71.18,2024-02-16T19:47:00
3272,Protein,Chicken,92.2,2024-02-08T17:57:00
3273,Fruit,Grape,13.6,2024-01-02T05:45:00
3274,Vegetable,Tomato,75.07,2024-01-16T03:03:00
3275,Vegetable,Pepper,87.11,2024-01-11T08:18:00
3276,Fruit,Grape,50.02,2024-02-26T23:52:00
3277,Protein,Tofu,14.85,2024-02-19T19:07:00
3278,Grain,Corn,1.92,2024-01-11T16:51:00
3279,Grain,Oats,72.27,2024-03-02T14:14:00
3280,Dairy,Cream,32.92,2024-02-03T19:50:00
3281,Protein,Beef,15.01,2024-02-17T15:03:00
3282,Vegetable,Tomato,95.25,2024-02-03T19:00:00
3283,Protein,Egg,25.87,2024-02-12T03:10:00
3284,Vegetable,Broccoli,92.78,2024-03-06T13:08:00
3285,Vegetable,Spinach,52.91,2024-02-13T03:11:00
3286,Fruit,Banana,42.21,2024-01-14T16:26:00
3287,Grain,Rice,99.34,2024-01-01T12:14:00
3288,Dairy,Cheese,20.73,2024-01-09T13:00:00
3289,Protein,Tofu,33.77,2024-01-06T13:29:00
3290,Protein,Tofu,59.85,2024-01-07T01:51:00
3291,Dairy,Cream,88.45,2024-02-01T09:34:00
3292,Fruit,Orange,28.18,2024-02-08T18:58:00
3293,Protein,Fish,37.36,2024-02-06T16:57:00
3294,Dairy,Cream,54.56,2024-03-01T00:24:00
3295,Vegetable,Carrot,59.67,2024-01-10T08:57:00
3296,Vegetable,Broccoli,18.65,2024-02-21T07:20:00
3297,Fruit,Orange,79.89,2024-02-23T11:00:00
3298,Grain,Oats,57.99,2024-02-23T21:36:00
3299,Protein,Fish,96.7,2024-03-08T02:34:00
3300,Protein,Tofu,21.72,2024-01-01T05:50:00
3301,Vegetable,Spinach,10.04,2024-02-25T23:19:00
3302,Vegetable,Spinach,17.32,2024-01-01T00:32:00
3303,Dairy,Milk,89.7,2024-01-05T18:00:00
3304,Vegetable,Tomato,80.92,2024-02-08T17:18:00
3305,Grain,Oats,30.95,2024-03-10T04:15:00
3306,Fruit,Orange,56.45,2024-02-04T08:14:00
3307,Grain,Corn,36.14,2024-02-17T12:17:00
3308,Dairy,Cream,8.74,2024-02-25T02:28:00
3309,Vegetable,Spinach,94.6,2024-01-26T06:43:00
3310,Vegetable,Pepper,56.49,2024-02-14T14:37:00
3311,Dairy,Milk,56.23,2024-02-09T15:10:00
3312,Dairy,Cheese,3.5,2024-02-03T06:51:00
3313,Grain,Oats,73.12,2024-01-20T11:00:00
3314,Protein,Egg,87.75,2024-01-18T09:12:00
3315,Grain,Oats,18.72,2024-03-09T01:13:00
3316,Fruit,Orange,44.77,2024-02-17T21:04:00
3317,Vegetable,Carrot,59.03,2024-01-30T21:30:00
3318,Fruit,Banana,91.66,2024-02-15T18:22:00
3319,Fruit,Berry,28.03,2024-02-28T21:52:00
3320,Dairy,Butter,40.43,2024-03-04T07:20:00
3321,Dairy,Yogurt,62.9,2024-02-22T01:56:00
3322,Fruit,Grape,99.73,2024-02-27T13:08:00
3323,Grain,Corn,18.2,2024-03-09T06:15:00
3324,Protein,Chicken,4.78,2024-01-03T14:59:00
3325,Protein,Beef,70.86,2024-01-17T02:27:00
3326,Vegetable,Carrot,42.54,2024-01-11T20:53:00
3327,Fruit,Grape,64.11,2024-01-06T16:09:00
3328,Dairy,Milk,85.93,2024-01-26T06:09:00
3329,Vegetable,Tomato,74.01,2024-01-31T06:43:00
3330,Dairy,Cheese,90.67,2024-02-23T09:59:00
3331,Dairy,Cream,2.4,2024-03-01T11:36:00
3332,Grain,Corn,83.93,2024-03-01T22:51:00
3333,Fruit,Apple,20.1,2024-03-10T07:04:00
3334,Protein,Beef,73.17,2024-01-08T15:25:00
3335,Vegetable,Pepper,5.41,2024-02-25T09:21:00
3336,Vegetable,Tomato,41.52,2024-02-27T19:50:00
3337,Fruit,Banana,28.1,2024-02-01T22:04:00
3338,Fruit,Banana,47.16,2024-03-04T09:04:00
3339,Fruit,Berry,93.1,2024-01-09T00:35:00
3340,Fruit,Apple,19.07,2024-01-08T20:46:00
3341,Vegetable,Broccoli,59.52,2024-01-02T19:55:00
3342,Vegetable,Carrot,22.54,2024-02-04T02:10:00
3343,Grain,Rice,87.84,2024-01-23T10:59:00
3344,Dairy,Cheese,74.99,2024-03-08T04:25:00
3345,Vegetable,Broccoli,6.28,2024-03-05T06:05:00
3346,Dairy,Cheese,28.62,2024-02-21T10:20:00
3347,Dairy,Butter,23.37,2024-01-18T03:13:00
3348,Dairy,Cheese,18.53,2024-01-27T20:17:00
3349,Dairy,Butter,27.19,2024-02-14T14:10:00
3350,Dairy,Cream,37.0,2024-02-28T10:05:00
3351,Protein,Tofu,83.12,2024-03-03T12:51:00
3352,Vegetable,Carrot,95.02,2024-02-23T06:26:00
3353,Grain,Wheat,54.26,2024-01-20T04:11:00
3354,Grain,Oats,64.95,2024-03-03T01:53:00
3355,Dairy,Cheese,34.88,2024-02-15T20:29:00
3356,Protein,Fish,9.98,2024-01-20T04:19:00
3357,Dairy,Cheese,47.3,2024-01-03T20:41:00
3358,Fruit,Berry,66.17,2024-01-17T23:15:00
3359,Grain,Wheat,47.26,2024-01-30T09:35:00
3360,Dairy,Cream,38.41,2024-02-23T13:21:00
3361,Fruit,Banana,70.43,2024-02-27T07:06:00
3362,Dairy,Milk,16.72,2024-02-13T06:44:00
3363,Dairy,Yogurt,65.14,2024-01-10T02:54:00
3364,Vegetable,Broccoli,31.32,2024-02-12T11:49:00
3365,Protein,Beef,75.45,2024-02-09T23:01:00
3366,Protein,Tofu,59.76,2024-03-04T05:09:00
3367,Grain,Corn,47.88,2024-01-23T04:07:00
3368,Dairy,Yogurt,60.49,2024-02-13T22:09:00
3369,Grain,Oats,4.97,2024-01-22T07:50:00
3370,Protein,Chicken,42.68,2024-01-25T12:25:00
3371,Protein,Tofu,59.71,2024-01-15T22:19:00
3372,Protein,Beef,92.31,2024-02-24T07:50:00
3373,Protein,Beef,95.2,2024-02-21T16:47:00
3374,Vegetable,Spinach,66.68,2024-01-05T21:31:00
3375,Fruit,Banana,79.49,2024-01-13T21:01:00
3376,Dairy,Butter,40.2,2024-02-11T22:10:00
3377,Fruit,Orange,20.84,2024-01-16T15:53:00
3378,Dairy,Yogurt,8.96,2024-01-22T11:57:00
3379,Vegetable,Pepper,9.93,2024-01-23T06:37:00
3380,Vegetable,Tomato,84.72,2024-02-04T01:34:00
3381,Fruit,Grape,16.77,2024-01-10T02:15:00
3382,Grain,Barley,68.99,2024-03-04T14:30:00
3383,Vegetable,Pepper,67.18,2024-02-12T04:29:00
3384,Vegetable,Carrot,39.37,2024-01-29T23:27:00
3385,Vegetable,Pepper,77.55,2024-01-26T18:38:00
3386,Grain,Barley,39.99,2024-01-07T12:32:00
3387,Dairy,Butter,67.32,2024-02-23T09:04:00
3388,Fruit,Orange,88.67,2024-01-17T05:11:00
3389,Vegetable,Broccoli,36.87,2024-02-15T15:26:00
3390,Fruit,Berry,60.32,2024-02-06T05:50:00
3391,Fruit,Orange,14.67,2024-01-18T02:37:00
3392,Fruit,Orange,30.89,2024-01-09T10:50:00
3393,Dairy,Butter,65.75,2024-02-08T17:58:00
3394,Vegetable,Broccoli,31.8,2024-03-02T11:09:00
3395,Grain,Rice,26.84,2024-02-08T09:17:00
3396,Vegetable,Spinach,40.42,2024-02-17T02:09:00
3397,Fruit,Grape,80.82,2024-02-01T12:28:00
3398,Fruit,Grape,80.55,2024-01-02T02:42:00
3399,Vegetable,Broccoli,13.75,2024-02-16T03:29:00
3400,Grain,Corn,2.15,2024-02-29T12:17:00
3401,Grain,Corn,77.36,2024-01-28T13:48:00
3402,Grain,Oats,74.46,2024-01-11T13:18:00
3403,Protein,Tofu,50.7,2024-02-13T02:28:00
3404,Dairy,Cream,97.21,2024-01-11T03:57:00
3405,Vegetable,Pepper,53.64,2024-02-04T21:42:00
3406,Fruit,Orange,1.69,2024-03-05T09:41:00
3407,Protein,Fish,20.56,2024-02-25T22:26:00
3408,Grain,Corn,5.81,2024-01-26T15:24:00
3409,Fruit,Apple,86.92,2024-02-11T21:25:00
3410,Dairy,Milk,89.03,2024-03-03T11:26:00
3411,Dairy,Yogurt,43.14,2024-03-02T10:33:00
3412,Dairy,Milk,54.73,2024-01-17T06:26:00
3413,Dairy,Yogurt,42.29,2024-02-10T15:59:00
3414,Dairy,Yogurt,63.96,2024-02-24T05:29:00
3415,Fruit,Banana,73.46,2024-02-18T08:34:00
3416,Grain,Wheat,18.35,2024-02-18T16:41:00
3417,Fruit,Orange,72.95,2024-02-27T14:38:00
3418,Grain,Corn,89.38,2024-02-01T10:30:00
3419,Grain,Barley,25.17,2024-03-07T16:34:00
3420,Protein,Egg,46.38,2024-01-07T23:11:00
3421,Dairy,Yogurt,4.79,2024-02-25T11:09:00
3422,Fruit,Grape,51.75,2024-03-07T00:39:00
3423,Fruit,Banana,92.82,2024-03-09T04:47:00
3424,Dairy,Butter,40.67,2024-01-17T17:48:00
3425,Dairy,Milk,83.85,2024-02-09T10:51:00
3426,Fruit,Orange,57.52,2024-01-28T14:21:00
3427,Protein,Egg,54.38,2024-01-23T04:29:00
3428,Fruit,Banana,57.76,2024-01-20T14:07:00
3429,Grain,Oats,74.94,2024-01-17T21:41:00
3430,Dairy,Cream,67.47,2024-02-25T00:49:00
3431,Grain,Wheat,68.14,2024-01-25T19:40:00
3432,Fruit,Grape,21.51,2024-02-07T17:06:00
3433,Vegetable,Broccoli,27.44,2024-02-24T12:42:00
3434,Dairy,Milk,22.91,2024-01-02T15:28:00
3435,Dairy,Cheese,7.31,2024-01-27T04:46:00
3436,Protein,Tofu,59.2,2024-02-27T18:40:00
3437,Protein,Fish,54.6,2024-02-13T06:58:00
3438,Protein,Chicken,34.95,2024-01-30T02:16:00
3439,Dairy,Butter,16.03,2024-03-08T14:10:00
3440,Grain,Wheat,53.69,2024-01-16T11:23:00
3441,Grain,Oats,40.89,2024-03-01T03:19:00
3442,Protein,Chicken,63.51,2024-02-21T02:14:00
3443,Dairy,Milk,21.55,2024-02-18T04:54:00
3444,Dairy,Yogurt,29.89,2024-01-29T16:51:00
3445,Grain,Corn,3.93,2024-02-26T21:02:00
3446,Protein,Beef,62.8,2024-02-21T10:01:00
3447,Grain,Corn,99.59,2024-01-03T03:08:00
3448,Dairy,Cream,74.66,2024-01-22T08:45:00
3449,Grain,Barley,14.04,2024-02-25T06:16:00
3450,Fruit,Apple,40.18,2024-01-20T05:36:00
3451,Fruit,Berry,29.65,2024-01-15T11:35:00
3452,Grain,Barley,41.44,2024-03-09T09:11:00
3453,Vegetable,Pepper,90.15,2024-01-26T09:13:00
3454,Dairy,Yogurt,63.4,2024-03-01T11:02:00
3455,Dairy,Cream,54.03,2024-02-05T16:42:00
3456,Vegetable,Pepper,49.99,2024-02-12T05:26:00
3457,Dairy,Butter,16.54,2024-01-17T04:01:00
3458,Grain,Oats,1.33,2024-01-31T09:45:00
3459,Grain,Wheat,68.65,2024-01-09T22:47:00
3460,Grain,Barley,65.66,2024-02-08T01:43:00
3461,Grain,Wheat,64.01,2024-02-26T07:57:00
3462,Vegetable,Spinach,61.36,2024-02-15T19:36:00
3463,Fruit,Berry,57.49,2024-02-07T04:58:00
3464,Fruit,Banana,61.37,2024-01-16T03:38:00
3465,Protein,Tofu,68.75,2024-02-03T16:55:00
